0_Internal Flux,0_Voltage
-521.190831,6.655223
-515.324199,5.890577
-507.416999,4.361284
-500.530082,2.577110
-494.408379,0.283171
-487.266392,2.067346
-479.614263,1.302699
-473.492559,2.322228
-467.115785,3.851520
-460.228869,6.910105
-452.831811,6.910105
-446.455036,8.949162
-439.823191,9.458926
-432.426133,8.949162
-426.304429,7.164987
-420.182726,6.910105
-413.040739,4.106402
-405.898752,1.812463
-399.777048,0.792935
-393.145203,0.792935
-386.003216,1.047817
-379.881512,1.047817
-374.014880,3.851520
-366.872893,5.635695
-359.985977,6.910105
-353.864273,7.929633
-346.977357,9.713808
-339.835370,10.223572
-333.968737,8.184515
-328.102105,7.164987
-320.960118,5.890577
-313.563060,2.577110
-307.696427,1.812463
-301.829795,1.302699
-294.432737,0.792935
-288.055962,1.047817
-282.444401,2.322228
-275.302414,4.616166
-268.160426,5.890577
-262.293794,7.164987
-256.682233,9.204044
-249.285175,9.204044
-242.398258,8.694279
-237.041768,8.439397
-229.899781,7.419869
-223.012864,4.361284
-217.401303,2.831992
-211.279600,2.577110
-204.392683,0.538053
-197.250696,0.283171
-191.894206,1.302699
-185.262360,3.341756
-178.375444,4.106402
-172.253741,5.380813
-166.642179,8.184515
-159.500192,8.694279
-152.613276,8.694279
-147.511857,8.949162
-140.369869,8.694279
-133.482953,6.910105
-128.126463,4.616166
-122.004759,4.616166
-115.372914,1.812463
-108.230927,0.792935
-102.619365,0.538053
-95.987520,1.812463
-89.355675,2.577110
-83.489042,3.596638
-77.877481,5.380813
-70.990565,7.419869
-64.103649,7.929633
-58.492087,9.204044
-52.115313,9.713808
-45.228397,8.439397
-39.616835,7.164987
